x,y,b_mag,b_mag_err,v_mag,v_mag_err,r_mag,r_mag_err,i_mag,i_mag_err
398,323,15.15,0.2,14.36,0.09,13.86,0.1,13.16,0.1
462,323,15.49,0.21,,,14.12,0.11,13.53,0.11
114,324,16.2,0.25,16.2,0.23,16.34,0.39,16.47,0.79
319,325,15.37,0.2,14.63,0.1,14.17,0.11,13.49,0.11
428,326,13.89,0.19,12.72,0.09,12.01,0.09,11.12,0.09
441,330,16.58,0.3,15.72,0.16,15.14,0.16,14.3,0.14
623,330,17.45,0.55,16.29,0.24,15.65,0.22,14.84,0.2
329,331,16.41,0.27,15.67,0.15,15.24,0.17,14.56,0.16
674,331,15.39,0.2,15.01,0.11,14.82,0.13,14.49,0.16
458,332,14.43,0.19,13.39,0.09,12.74,0.09,11.92,0.09
38,334,15.92,0.22,15.27,0.12,14.92,0.14,14.47,0.16
313,332,16.29,0.26,15.82,0.17,15.33,0.18,,
510,334,15.88,0.22,14.92,0.11,14.35,0.11,13.6,0.11
249,335,15.7,0.21,15.14,0.12,14.75,0.13,14.15,0.13
344,335,16.21,0.25,,,14.85,0.13,,
371,335,15.08,0.2,14.35,0.09,13.86,0.1,13.18,0.1
417,335,15.55,0.21,14.69,0.1,14.09,0.1,13.29,0.1
499,336,15.71,0.21,14.72,0.1,,,13.37,0.1
597,336,17.33,0.5,16.02,0.2,15.43,0.19,14.69,0.18
607,338,17.74,0.7,16.55,0.3,16.0,0.29,15.16,0.25
20,340,15.44,0.2,14.48,0.1,13.89,0.1,13.14,0.1
303,340,14.93,0.19,14.55,0.1,14.35,0.11,13.94,0.12
468,340,13.81,0.19,12.84,0.09,12.26,0.09,11.54,0.09
442,342,14.83,0.19,14.37,0.09,14.11,0.11,13.56,0.11
290,345,17.28,0.48,16.71,0.35,16.29,0.37,15.65,0.38
579,345,15.64,0.21,,,14.09,0.1,,
118,346,16.96,0.38,15.88,0.18,15.2,0.16,14.45,0.15
279,348,16.73,0.32,15.91,0.18,15.44,0.19,14.73,0.18
589,349,15.82,0.22,14.78,0.1,14.14,0.11,13.39,0.1
380,351,17.11,0.42,,,,,15.19,0.26
249,352,15.43,0.2,14.81,0.1,14.36,0.11,13.74,0.11
50,353,16.31,0.26,15.59,0.15,15.2,0.16,14.66,0.17
171,353,15.87,0.22,14.95,0.11,14.34,0.11,13.56,0.11
59,354,16.49,0.28,15.64,0.15,15.15,0.16,14.46,0.15
346,354,16.95,0.37,15.93,0.19,15.4,0.18,14.64,0.17
418,359,14.4,0.19,13.34,0.09,12.69,0.09,11.85,0.09
454,359,16.3,0.26,15.51,0.14,14.95,0.14,14.22,0.14
293,360,16.58,0.3,,,,,,
394,360,17.36,0.51,17.02,0.45,16.4,0.41,15.55,0.35
534,361,15.56,0.21,14.66,0.1,14.05,0.1,13.3,0.1
547,362,17.37,0.51,16.47,0.28,15.9,0.27,15.13,0.25
202,365,15.85,0.22,15.32,0.13,14.91,0.14,14.35,0.15
151,369,15.71,0.21,15.11,0.12,14.72,0.13,14.14,0.13
265,369,17.31,0.49,16.78,0.37,16.36,0.39,15.76,0.42
91,370,17.72,0.68,,,,,,
124,370,14.88,0.19,14.0,0.09,13.43,0.1,12.67,0.1
407,370,16.66,0.31,15.89,0.18,15.33,0.18,14.56,0.16
728,370,19.74,4.22,17.46,0.67,16.84,0.6,15.91,0.48
179,372,16.34,0.26,15.47,0.14,14.92,0.14,14.23,0.14
250,372,17.13,0.43,,,,,,
413,377,17.38,0.52,16.35,0.26,15.78,0.24,14.99,0.22
389,378,13.62,0.19,12.44,0.09,,,,
318,380,17.04,0.4,16.33,0.25,15.81,0.25,15.08,0.24
475,380,15.62,0.21,,,,,,
401,381,15.5,0.21,14.65,0.1,14.01,0.1,13.19,0.1
139,382,16.93,0.37,16.14,0.22,15.53,0.2,14.81,0.2
149,382,17.87,0.78,17.31,0.59,16.74,0.55,15.89,0.47
540,386,16.89,0.36,15.97,0.19,15.37,0.18,14.7,0.18
551,385,17.45,0.55,16.65,0.33,16.05,0.3,15.32,0.29
428,387,15.41,0.2,14.68,0.1,14.19,0.11,13.54,0.11
389,388,15.73,0.21,,,,,,
334,392,17.73,0.69,17.57,0.74,17.08,0.75,16.45,0.78
540,394,16.43,0.27,15.57,0.15,15.02,0.15,14.34,0.14
478,396,17.83,0.75,16.8,0.37,16.23,0.35,15.47,0.33
239,397,15.41,0.2,14.69,0.1,14.15,0.11,13.43,0.1
262,398,15.69,0.21,15.18,0.12,14.75,0.13,14.21,0.14
205,400,14.84,0.19,14.57,0.1,14.48,0.12,14.24,0.14
606,400,19.15,2.46,17.95,1.06,17.52,1.11,16.83,1.1
760,400,17.53,0.58,,,,,,
295,402,18.49,1.35,17.78,0.91,17.28,0.9,16.39,0.73
574,401,15.39,0.2,15.08,0.11,14.93,0.14,14.65,0.17
420,403,15.72,0.21,14.76,0.1,14.2,0.11,13.41,0.1
233,404,14.87,0.19,14.52,0.1,14.36,0.11,,
182,408,17.25,0.47,16.83,0.38,16.35,0.39,15.77,0.42
403,408,15.39,0.2,14.78,0.1,14.36,0.11,13.71,0.11
525,410,17.84,0.76,16.79,0.37,16.26,0.36,15.54,0.35
493,410,16.33,0.26,15.46,0.14,14.88,0.14,14.18,0.13
591,410,16.18,0.25,16.07,0.21,16.07,0.31,16.15,0.59
306,411,18.16,1.01,18.05,1.16,17.61,1.21,17.26,1.63
385,414,15.88,0.22,15.08,0.11,14.52,0.12,13.79,0.11
701,414,17.79,0.72,16.98,0.44,16.41,0.41,15.6,0.36
203,415,15.62,0.21,14.94,0.11,14.51,0.12,13.88,0.12
532,417,17.98,0.86,17.15,0.51,16.48,0.44,15.82,0.44
328,417,15.38,0.2,14.79,0.1,14.37,0.11,13.76,0.11
291,419,15.31,0.2,15.09,0.11,15.03,0.15,14.84,0.2
485,419,14.71,0.19,13.72,0.09,13.09,0.1,12.3,0.09
456,424,17.99,0.86,16.85,0.39,16.21,0.35,15.41,0.31
469,424,16.6,0.3,15.62,0.15,15.04,0.15,14.25,0.14
41,426,16.56,0.29,15.96,0.19,15.53,0.2,15.02,0.23
441,427,16.81,0.34,15.93,0.18,15.39,0.18,14.67,0.18
355,431,16.25,0.25,,,15.11,0.15,,
407,430,13.92,0.19,12.75,0.09,12.03,0.09,11.15,0.09
155,431,15.0,0.19,14.61,0.1,14.3,0.11,13.91,0.12
371,431,16.15,0.24,15.44,0.14,14.9,0.14,14.21,0.14
422,431,17.52,0.58,16.86,0.39,16.08,0.31,15.31,0.29
492,431,18.05,0.91,16.97,0.44,16.36,0.39,15.49,0.33
581,432,16.51,0.29,15.84,0.17,15.44,0.19,14.97,0.22
482,434,17.49,0.57,16.53,0.3,15.85,0.26,15.09,0.24
177,434,20.07,5.7,19.84,5.98,18.29,2.25,17.04,1.33
225,435,16.72,0.32,15.85,0.17,15.25,0.17,14.51,0.16
248,435,16.42,0.27,15.79,0.17,15.35,0.18,14.75,0.19
